LineID,Type,Speaker,Value,Next
# ═══ Day 19 저녁 - MT 전날, 하예은과 조우 ═══
,FX,,FadeOut:0.5,await
,BG,,Engineering/BG_Engineering_Corridor_Day,await
,Sound,,BGM:Daily2,>
,FX,,FadeIn:1.0,await
,Text,,"집에 가려는데, 복도에서 하예은과 마주쳤다.",click
,Char,,C:Enter:Yeun,await
,Sound,,BGM:Yeun,>
,Text,하예은,"{{PlayerName}} 군! 내일 MT 갈 준비 했어?",click
,Char,,C:Emote:Happy,await
,Text,하예은,"나 엄청 기대되거든! 바다에서 놀 수 있다니!",click
,Text,{{PlayerName}},아직 짐도 안 쌌는데...,click
,Text,하예은,"에이~ 빨리 가서 준비해! 맛있는 것도 많이 먹을 거야!",click
,Char,,C:Emote:Default,await
,Text,하예은,"그럼 내일 봐! 늦지 마!",click
,Char,,C:Exit,await
,Sound,,BGM:Night,>
,Text,,"MT 짐을 챙기러 집으로 향했다.\n내일부터 2박 3일, 기대된다.",click
,FX,,FadeOut:1.0,await
,Flow,,End,>
