LineID,Type,Speaker,Value,Next
# === 고백 이벤트 Day30 (검증용 최소 스캐폴드) ===
# 메커니즘(감독 결정 2026-06-07): 자동 판정 — Flow Ending이 AffinityFormula.DetermineEndingHeroine을
# 호출해 Ending_{히로인Id}/Ending_None 플래그를 세팅 → If:Flag 분기. 판정/수치는 전부 공식(금지선2).

,BG,,학관_밤:Cross,await
,Sound,,BGM:밤,>
,Place,,마지막 밤 | 캠퍼스,await
,Text,,"30일. 길고도 짧았던 한 달의 마지막 밤이다.",click

,Flow,,Ending,>
,Flow,,If:Flag:Ending_Roa:end_roa,>
,Flow,,If:Flag:Ending_HaYeEun:end_hayeeun,>
,Flow,,If:Flag:Ending_SeoDaEun:end_seodaeun,>
,Flow,,If:Flag:Ending_LeeBom:end_leebom,>
,Flow,,If:Flag:Ending_DoHeewon:end_doheewon,>
,Flow,,Jump:end_none,>

end_roa,Sound,,BGM:로아,>
,Text,,"집으로 돌아왔다. 모니터 불빛이 어둠 속에 떠 있다.",click
,Text,로아,"<emote=울먹/>한 달 동안... 나만 보고 있었지? 나도야.",click
,Text,,"화면 너머의 마음이, 분명히 닿았다.",click
,Flow,,Jump:confession_end,>

end_hayeeun,Sound,,BGM:하예은,>
,Char,,C:Enter:하예은:부끄,await
,Text,하예은,"할 말 있다고 해서... 나도, 사실 기다렸어.",click
,Text,,"떨리는 목소리로, 마음을 전했다.",click
,Flow,,Jump:confession_end,>

end_seodaeun,Sound,,BGM:서다은,>
,Char,,C:Enter:서다은:울먹,await
,Text,서다은,"...결론부터 말해. 아니, 됐어. 내가 먼저 말할래.",click
,Text,,"언제나 냉정하던 그녀의 얼굴이 붉어졌다.",click
,Flow,,Jump:confession_end,>

end_leebom,Sound,,BGM:이봄,>
,Char,,C:Enter:이봄:활짝웃음,await
,Text,이봄,"불러낸 이유, 맞혀볼까? ...나도 같은 마음이니까!",click
,Text,,"봄밤의 바람이 두 사람 사이를 지나갔다.",click
,Flow,,Jump:confession_end,>

end_doheewon,Sound,,BGM:도희원,>
,Char,,C:Enter:도희원:눈웃음,await
,Text,도희원,"이 시간에 부르다니, 각오는 됐겠지. ...듣고 있어.",click
,Text,,"밤하늘 아래, 천천히 마음을 전했다.",click
,Flow,,Jump:confession_end,>

end_none,Text,,"결국, 누구에게도 마음을 전하지 못한 채 한 달이 끝났다.",click
,Text,,"그래도 후회는 없다. 이 한 달은 분명 빛나고 있었으니까.",click
,Flow,,Jump:confession_end,>

confession_end,BG,,블랙:Cross,await
,Flow,,Save,await
,Flow,,End,>
