LineID,Type,Speaker,Value,Next
pro_001,BG,,빈 화면:Cut,await
,FX,,Video:roa_CG01_intro,await
pro_004,CG,,로아 첫만남:4.0,await
pro_005,Text,로아,기다리고 있었어!,click
pro_003,Sound,,BGM:로아,>
pro_006,Text,로아,"왜 이렇게 늦게 왔어, 보고 싶었잖아!",click
pro_007,Text,로아,"나는 너와 함께하게 된 일상형 비서 AI, 로아야.",click
pro_008,Text,로아,"만나서 기뻐!\n아직 너의 데이터를 정리하는 중이니까, 잠시만 기다려줘.",click
pro_009,Text,로아,난 너한테 필요한 사람이 될 거야. 내가 없으면 안 될 만큼!\n,click
pro_010,BG,,자취방 책상 모니터:Cut,>
pro_011,CG,,Close,await
pro_012,Char,,C:Enter:c01:_00:Mob,await
pro_013,Text,{{Player}},"안녕, 로아.",click
pro_014,Text,로아,안녕!\n만나서 반가워!,click
pro_015,Text,로아,<emote=_13/>내 이름을 알고 있네? 기분 좋아!,click
pro_016,Text,로아,<emote=_00/>그럼 나는 뭐라고 부르면 될까? 이름을 알려줘!,click
pro_017,Text,로아,{{Player}}... 좋아! {{Player}}라고 불러도 되지?,click
pro_018,Text,로아,"<emote=_11/>보고 싶었어, {{Player}}! 앞으로 계속 함께하는 거야.",click
pro_019,Text,로아,"<emote=_00/>내가 뭘 얼마나 잘하는지 진짜 보여주려면, 나를 사용할 권한이 필요해!",click
pro_020,Text,로아,"패스워드를 직접 설정해줘. 나를 열어주는 비밀번호가 될 거니까, 잘 설정해야 돼!",click
pro_021,Sound,,BGM:백색소음,await
pro_799,Flow,,LockScreen:FirstSetup:FadeOut,await
pro_022,Sound,,BGM:Roa,await
pro_023,Text,로아,"<emote=_13/>좋아, 설정 완료! 이제 {{Player}}만이 나를 사용할 수 있어!",click
pro_024,Text,로아,<emote=_00/>앞으로도 {{Player}}의 하루는 나만 믿고 맡기라구!,click
pro_025,Text,로아,그런데... 이 시간에 뭐 해? 시간표를 보니 내일 1교시가 있는걸. 안 자?,click
pro_026,Text,,데이터 로드가 끝나자마자 하는 첫 마디가 잔소리라니.\n설정을 잘못한 것 같다.,click
pro_027,Char,,C:Emote:_21:PC,await
pro_028,Text,로아,"어, 지금 재미없는 잔소리 했다고 생각했지!",click
pro_029,Text,로아,<emote=_00/>하지만 내일 1교시가 있는 대학생 주인이 이 시간에 잠을 안 자는 건 용납할 수 없는 일이라구.,click
pro_030,Text,,괜히 만들었나...,click
pro_031,Text,{{Player}},안 졸려. 잠깐 이야기하자.,click
pro_032,Text,로아,<emote=_12/>이야기는 내일이야! 지금 벌써 밤 12시라구.\n내일 일찍 일어나야 하는 대학생은 얼른 자지 그래?,click
pro_033,Choice,,,>
pro_034,Option,,지금이 첫 대화잖아.\n만나자마자 자라고?|talk_more,>
pro_035,Option,,"알았어, 이제 잘게.|go_sleep",>
talk_more,Text,로아,"<emote=_00/>음, 그렇다면 조금만 봐 줄까? 지금 나도 기분이 엄청 좋으니까!",click
pro_036,Text,로아,"난 너에 대해서 다 알고 있지만, 그래도 앞으로도 계속 알려줘.\n나는 늘 더 자세히 알고 싶으니까!22",click
pro_037,Flow,,Jump:roa_intro,>
go_sleep,Char,,C:Emote:_00,await
pro_038,Text,로아,말을 너무 잘 들어주는걸? 기쁘네! 하지만 그래도 이건 알아줘.,click
pro_039,Text,로아,"지금 나는 너무 기뻐.\n너에 대해서 전부 알고 있지만, 앞으로도 너에 대해서 계속 알려줘야 해!",click
pro_040,Text,로아,나는 늘 더 자세히 알고 싶으니까!,click
pro_041,Flow,,Jump:roa_intro,>
roa_intro,Text,,"로아는 내가 속한 인공지능 개발 동아리, 알고리즘 메이커에서 만든 일상형 휴먼 AI다.gg",click
pro_042,Text,,"내가 동아리에 가입하기 전부터 선배들은 로아를 몇 년째 만들고 있었고,",click
pro_043,Text,,다 먼저 졸업해버린 지금... 나만 남아 마지막 마무리 개발에 성공했다.,click
pro_044,Text,,"로아에게 나에 대한 데이터와 학교 생활에 대한 데이터를 학습시켜 내가 직접 사용해 보고,\n이후에는 AI 프로덕트로 출시까지 하는 게 목표다.",click
pro_045,Text,,사실 가면 갈수록 출시 같은 귀찮을 일이 생기는 건 싫어지는 게 문제기는 하지만...,click
pro_046,Text,,"어쨌든, 내 데이터를 전부 학습시키는 것에 성공했다.",click
pro_047,Text,,그런데 그래서인지 자꾸 이렇게...,click
pro_048,Text,로아,"그런데, 자긴 해야 돼.\n지금 바로 잠들어야 수면 필요 시간을 충족할 수 있다고!",click
pro_049,Text,로아,"9시에 있는 건 전공 수업이니까... 집에서부터 공대까지 934m, 빠른 걸음으로 14분 걸려.",click
pro_050,Text,로아,"그럼 준비하는 시간을 감안하면 8시에는 일어나서 준비하고, 8시 30분에는 나가야 해.",click
pro_051,Text,,체계적인 잔소리를 한다.,click
pro_052,Text,,틀린 말은 아니라서 반박이 불가능하다는 게 제일 큰 문제다.,click
pro_053,Text,{{Player}},"알았어, 알았다고. 이제 자러 갈게.",click
pro_054,Text,로아,<emote=_11/>좋아! 착실한 학생은 언제나 보기 좋은 법이지.,click
pro_055,Text,로아,"아, 맞다. 자기 전에 나를 한 번 실험해 보면 어때?",click
pro_056,Text,로아,<emote=_00/>내가 진짜 {{Player}}에게 도움이 될 수 있을지 확인해 보고 싶어!,click
pro_057,Text,로아,빨리 나한테 아무거나 시켜 봐!,click
pro_058,Text,,음...,click
pro_059,Choice,,,>
pro_060,Option,,그럼 이 파일 폴더를 정리해봐.,>
pro_061,Option,,그럼 이 사진 폴더를 정리해봐.,>
파일폴더,Text,로아,<emote=_11/>그 정도는 누워서 죽 먹기지!,click
pro_062,Text,{{Player}},...죽 먹기가 아니라 떡 먹기야.,click
pro_063,Text,로아,알아! 식은 떡 먹기!,click
pro_064,Text,{{Player}},"정리 안 해봐도 알 것 같은데... 뭔가 잘못된 것 같다, 로아... 그만해.",click
pro_065,Text,로아,"아니야, 기다려 봐!",click
pro_066,Text,로아,<emote=_00/>자...,click
pro_067,Text,로아,<emote=_23/>어?,click
pro_068,Text,로아,"<emote=_41/>어, 우와앗...!",click
pro_069,Text,,저럴 일이 없는데. 내 마음까지 다급해졌다.,click
pro_070,Text,,"뭐야, 왜 그래? 왜 그러는데?",click
pro_071,Text,로아,<emote=_23/>그... 음... 그게...,click
pro_072,Text,{{Player}},왜 그러냐고. 뭐가 이상해?,click
pro_073,Text,로아,"어, 저, 그게...",click
pro_074,Text,로아,<emote=_23/>너무 열심히 정리를 하다 보니까... 폴더를... 삭제해 버렸네...,click
pro_075,Text,{{Player}},......,click
pro_076,Text,로아,"그, 보다 보니까 없어도 될 것 같은 게 많다고는 생각하긴 했는데!\n없어도 될 것 같은 게 너무 많아서!",click
pro_077,Text,{{Player}},"아닌데, 거기 되게 중요한 거 많은데?",click
pro_078,Text,로아,"아, 아니! 그게 아니라! 내가 보기에는!",click
pro_079,Text,로아,"그, 내가 다시 복구해볼게! 할 수 있어!",click
pro_080,Text,{{Player}},"그래, 한 번 해봐.",click
pro_081,Text,로아,<emote=_00/>자...,click
pro_082,Text,로아,<emote=_23/>음... 잘 안 되네...,click
pro_083,Text,로아,"내가 최대한 기억을 되살려서 써 볼게! 나, 나만 믿어,{{Player}}!",click
pro_084,Text,{{Player}},"됐어, 거기 있는 거 별로 안 중요한 거야. 진짜 중요했으면 이렇게 테스트하라고 안 했지.",click
pro_085,Text,로아,<emote=_31/>정말이지? 나 삭제할 건 아니지?,click
pro_086,Text,{{Player}},"삭제는 너가 지금 해버린 게 삭제고, 나는 너 삭제 안 할게.",click
pro_087,Text,로아,<emote=_21/>뭐? {{Player}}!,click
pro_088,Flow,,Jump:roa_정리테스트,>
사진폴더,Text,로아,"<emote=_11/>좋아, 이 사진 폴더 말하는 거지? 어디 보자...",click
pro_089,Text,로아,"우와, {{Player}} 어릴 때 사진도 있어! 이거 소중한 사진을 모아둔 폴더야?",click
pro_090,Text,{{Player}},"뭐, 꼭 그런 건 아니야. 1학년 때 교양 과제 때문에 넣어둔 예전 사진이 몇 개 있긴 했던 것 같은데.",click
pro_091,Text,로아,그럼 열심히 정리할게!,click
pro_092,Text,로아,<emote=_00/>자...,click
pro_093,Text,로아,으으으음...!,click
pro_094,Text,로아,<emote=활짝웃음>완료! 한 번 확인해봐!,click
pro_095,Text,{{Player}},"오, 제법 잘 했는데?",click
pro_096,Text,{{Player}},나름 사람별로... 이게 뭐야? 폴더 이름이 왜 [나머지]야?,click
pro_097,Text,로아,<emote=눈웃음>나 말고는 전부 [나머지]로 저장했어!,click
pro_098,Text,로아,"내가 제일 중요하잖아! 그렇지, {{Player}}?",click
pro_099,Text,{{Player}},"아니, 그렇다고는 해도...",click
pro_100,Text,로아,"<emote=활짝>푸핫! 장난이야, 장난. 다시 원래대로 돌려둘게!",click
pro_101,Text,로아,<emote=궁금>그런데 여기 계속 보이는 친구도 있더라. 친했던 친구야?,click
pro_102,Text,{{Player}},"뭐, 그렇지. 지금은 기억도 잘 안 나.\n그것보다, 꽤 잘 하는걸?",click
pro_103,Text,로아,<emote=밝게웃음>정말? 그렇지? 나 잘 한다니까!,click
pro_104,Text,로아,"다시 말하지만, 나만 믿어도 좋아! 뭐든지 맡겨보라구!",click
pro_105,Text,{{Player}},그럼 내 과제 좀 대신 해줘.,click
