LineID,Type,Speaker,Value,Next
# ═══ 도희원 해피 엔딩 ═══
,BG,,BG_BlackCut:Cut,await
,Sound,,BGM:Stop:Fade:2.0,await
,Text,,"......",click
,FX,,FadeIn:1.0,await
,BG,,BG_Campus_Street1_Day:Cross:2.0,await
,Sound,,BGM:Daily1,>
,Text,,"학교 뒷산 벤치.\n희원이가 조용히 앉아 있었다.",click
,Char,,C:Enter:Heewon:Default,await
,Text,도희원,"...왔어?",click
,Text,{{PlayerName}},기다린 거야?,click
,Char,,C:Emote:Smile,await
,Text,도희원,"아니. 그냥 여기가 좋아서.\n...근데 네가 와서 더 좋아졌어.",click
,Text,{{PlayerName}},......,click
,Char,,C:Emote:Default,await
,Text,도희원,"나 원래 사람한테 잘 마음 안 여는 편인 거 알지?",click
,Text,도희원,"근데 {{PlayerName}}한텐 왜인지...\n계속 말하고 싶어져.",click
,Text,{{PlayerName}},나도 그래.,click
,Char,,C:Emote:Shy,await
,Text,도희원,"...그래?",click
,Text,도희원,"...다음 학기에도 여기 오자.\n같이.",click
,Text,{{PlayerName}},약속할게.,click
,Char,,C:Emote:Happy,await
,Text,도희원,"...응.",click
,Char,,C:Exit,await
,Text,,"바람에 실려 온 그녀의 미소가\n오래도록 기억에 남았다.",click
,FX,,FadeOut:2.0,await
,Sound,,BGM:Stop:Fade:2.0,await
,Text,,"── 도희원 해피 엔딩 ──\n\n조용한 약속",click
,Flow,,End,>
