LineID,Type,Speaker,Value,Next
# ═══ 이봄 해피 엔딩 ═══
,BG,,Black,await
,Sound,,BGM:Stop:Fade:2.0,await
,Text,,"......",click
,FX,,FadeIn:1.0,await
,BG,,CampusStreet/BG_Campus_Street1_Day:Cross:2.0,await
,Sound,,BGM:Daily1,>
,Text,,"캠퍼스 벤치. 봄이가 손을 흔들고 있다.",click
,Char,,C:Enter:Bom:Happy,await
,Text,이봄,"{{PlayerName}}~! 빨리 와!",click
,Text,{{PlayerName}},왜 이렇게 신나 보여?,click
,Char,,C:Emote:Smile,await
,Text,이봄,"헤헤, 오늘 좋은 소식이 있거든!\n...은 아니고, 그냥 네가 와서 좋아!",click
,Text,{{PlayerName}},...바보.,click
,Char,,C:Emote:Happy,await
,Text,이봄,"바보라니! 솔직한 건데~",click
,Text,이봄,"있잖아, {{PlayerName}}.\n이번 학기 정말 즐거웠어.",click
,Text,이봄,"맨날 혼자 떠들기만 했는데...\n네가 다 들어줘서 고마웠어.",click
,Text,{{PlayerName}},즐거웠어. 진심으로.,click
,Char,,C:Emote:Shy,await
,Text,이봄,"...진심?",click
,Text,{{PlayerName}},응.,click
,Char,,C:Emote:Happy,await
,Text,이봄,"다음 학기에도 내 옆자리 예약이야!\n취소 불가!",click
,Char,,C:Exit,await
,Text,,"밝은 에너지로 가득한 그녀와 함께라면\n지루할 틈이 없을 것 같았다.",click
,FX,,FadeOut:2.0,await
,Sound,,BGM:Stop:Fade:2.0,await
,Text,,"── 이봄 해피 엔딩 ──\n\n끝나지 않는 웃음",click
,Flow,,End,>
