dim,roa,text
tutorial_dim_00,tutorial_roa_default,"안녕, {name}!\n오늘 하루, 마음에 들어?"
tutorial_dim_00,tutorial_roa_default,"여기서는 오늘 하루의 여유 시간을 어떻게 보낼지 선택할 수 있어.\n지금 {name}의 상태를 확인할 수도 있고!"
tutorial_dim_00,tutorial_roa_default,"어떤 사람이 되고 싶은지 고민하고, 그에 따라서 성장하는 거야.\n너는 무엇이든 너가 원하는 대로 될 수 있거든! 내가 도와줄게!"
tutorial_dim_01,tutorial_roa_eyeSmile,"자, 그럼 하나씩 설명해 줄게.\n왼쪽 창은 {name}의 상태를 나타내."
tutorial_dim_02,tutorial_roa_eyeSmile,"오른쪽 창은 오늘 어떤 일을 할 지\n선택할 수 있는 곳이야."
tutorial_dim_01,tutorial_roa_eyeSmile,왼쪽 창부터 한 번 볼까?
tutorial_dim_03,tutorial_roa_default,"위쪽의 정보 창에서는 우리가 함께한 지 며칠이 됐는지 알 수 있어.\n그리고 지금 {name}의 지갑 사정도 볼 수 있지!"
tutorial_dim_04,tutorial_roa_brightSmile,"피로도는 아래쪽의 스탯 창에서 볼 수 있어.\n총 5개의 스탯을 볼 수 있는 곳이야."
keep,tutorial_roa_eyeSmile,"체력, 지성, 사교성, 끈기 모두 멋진 사람의 필수 역량이지!\n어떤 행동을 하느냐에 따라서 다르게 성장해."
keep,tutorial_roa_default,"하지만 피로도는 너무 높아지면 아무런 활동도 하지 못하고 쉬어야 하니까, 지켜보면서 조심해야 해."
keep,tutorial_roa_eyeSmile,나 자신을 아낄 줄 아는 게 가장 매력적인 사람의 특징이라고!
,tutorial_roa_default,"참, 첫 날을 잘 보내고 있으니 특별히 비밀을 말해주자면…\n어떤 매력을 특히 잘 보여주는지에 따라서\n어떤 사람과 가까워질 수 있을지 달라질 수도 있어!"
tutorial_dim_10,tutorial_roa_eyeSmile,"이번에는 오른쪽 창을 한 번 볼까?\n오른쪽 창은 어떤 행동을 할 지 선택하는 곳이야."
tutorial_dim_05,tutorial_roa_eyeSmile,"아르바이트, 운동, 공부 중 한 개의 행동만 할 수 있고,\n한 번 선택하면 바꾸거나 취소할 수 없으니 조심해!"
tutorial_dim_06,tutorial_roa_default,"만약 돈을 더 벌고 싶다면, 오른쪽 창에서 아르바이트 탭을 선택해봐.\n할 수 있는 아르바이트의 종류를 자유롭게 선택할 수 있고,\n종류별로 벌 수 있는 금액과 쌓이는 피로도가 달라."
tutorial_dim_07,tutorial_roa_default,"운동이나 공부 활동을 선택하면 그에 따라 {name}의 스탯이 달라져.\n어떤 행동을 얼마나 하는지에 따라서 어떤 스탯이 변화할지도 달라지지!"
tutorial_dim_08,tutorial_roa_default,"가장 오른쪽에는 아이템 구매 버튼이 있어.\n이 버튼을 누르면 상점으로 이동해. 한 번 눌러봐!"
